stock,Date,Open,High,Low,Close,Volume
APH,2017-07-07,72.89,73.66,72.77,73.39,958906
APC,2017-07-07,43.44,43.56,42.58,43.36,4923852
ADI,2017-07-07,77.64,78.85,77.5,78.47,2803698
ANSS,2017-07-07,121.31,123.04,121.24,122.39,278335
ANTM,2017-07-07,191.0,192.24,190.01,191.61,780722
AON,2017-07-07,133.72,135.48,133.5,135.01,914108
APA,2017-07-07,45.53,45.7,44.6,45.11,4343362
AIV,2017-07-07,42.75,42.98,42.52,42.65,1667506
AAPL,2017-07-07,142.9,144.75,142.9,144.18,19201712
AMAT,2017-07-07,42.36,43.8,42.36,43.54,10748709
ADM,2017-07-07,41.26,41.36,41.04,41.24,2365941
ARNC,2017-07-07,22.93,23.32,22.79,23.13,3127489
AJG,2017-07-07,57.53,58.07,57.32,57.71,633697
AIZ,2017-07-07,104.15,105.97,104.14,105.32,259750
T,2017-07-07,37.18,37.23,36.82,36.98,20840791
ADSK,2017-07-07,102.29,104.28,102.29,103.32,1695293
ADP,2017-07-07,103.75,105.41,103.42,105.14,2774122
AN,2017-07-07,41.15,41.92,41.02,41.8,897010
AZO,2017-07-07,503.0,504.88,498.5,501.39,705232
AVB,2017-07-07,188.66,190.08,188.42,189.3,422514
AVY,2017-07-07,89.72,91.17,89.54,90.78,685074
BHGE,2017-07-07,38.14,38.59,36.12,37.91,6085969
BLL,2017-07-07,42.13,42.38,42.01,42.3,1826210
BAC,2017-07-07,24.92,25.0,24.65,24.83,54478781
BK,2017-07-07,51.42,51.85,51.23,51.75,3130383
BCR,2017-07-07,317.89,318.72,317.55,318.41,453573
BAX,2017-07-07,60.38,60.83,60.23,60.72,2561763
BBT,2017-07-07,45.69,45.71,45.22,45.47,4054433
BDX,2017-07-07,196.0,197.85,195.39,197.79,1052121
BBBY,2017-07-07,29.67,29.85,29.37,29.69,2753233
BRK.B,2017-07-07,170.84,171.32,169.9,171.14,2967228
BBY,2017-07-07,57.52,58.08,57.34,57.87,2509550
BIIB,2017-07-07,271.9,274.86,270.8,273.93,906260
BLK,2017-07-07,427.55,433.04,425.95,432.38,389982
HRB,2017-07-07,31.37,31.48,30.93,31.37,2886717
BA,2017-07-07,202.24,203.28,201.26,202.37,3090441
BWA,2017-07-07,42.85,44.26,42.69,44.09,2935239
BXP,2017-07-07,119.97,120.81,119.6,120.13,472653
BSX,2017-07-07,27.44,27.62,27.4,27.59,4103261
BMY,2017-07-07,55.51,56.0,55.08,55.91,5487495
AVGO,2017-07-07,235.3,240.19,235.27,239.62,2473086
BF.B,2017-07-07,48.28,48.71,48.07,48.17,626410
CHRW,2017-07-07,67.83,68.17,67.47,67.97,1147949
CA,2017-07-07,34.0,34.5,33.97,34.34,2116385
COG,2017-07-07,24.16,24.3,23.89,24.26,4781717
CPB,2017-07-07,51.79,52.09,51.55,51.58,1475597
COF,2017-07-07,82.66,82.68,81.92,82.5,1635328
CAH,2017-07-07,77.13,77.26,76.7,77.19,1182622
CBOE,2017-07-07,92.32,93.29,91.4,92.98,1044782
KMX,2017-07-07,63.62,64.47,63.13,63.95,2068294
CCL,2017-07-07,65.77,66.48,65.63,65.83,3252235
CAT,2017-07-07,106.61,107.58,105.85,106.92,2767868
CBG,2017-07-07,36.4,36.83,36.18,36.61,1727272
CBS,2017-07-07,62.24,63.14,61.95,62.81,1836307
CELG,2017-07-07,132.25,133.84,131.78,132.56,2942725
CNC,2017-07-07,80.2,81.85,79.89,81.26,1281215
CNP,2017-07-07,27.28,27.4,27.12,27.32,2063783
CTL,2017-07-07,23.85,23.95,23.49,23.6,7861457
CERN,2017-07-07,65.29,66.04,65.18,65.74,2035063
CF,2017-07-07,27.6,27.93,27.27,27.89,3339444
SCHW,2017-07-07,43.67,43.69,43.19,43.32,4718030
CHTR,2017-07-07,332.08,334.43,330.58,332.43,870484
CHK,2017-07-07,4.64,4.65,4.42,4.54,33521344
CVX,2017-07-07,103.59,103.76,102.81,103.49,6456968
CMG,2017-07-07,413.67,417.41,413.24,413.89,618574
CB,2017-07-07,145.95,146.79,145.63,146.52,1043634
CHD,2017-07-07,52.17,52.54,51.97,52.0,1163188
CI,2017-07-07,168.5,170.39,168.11,169.61,1529609
XEC,2017-07-07,91.53,91.8,89.49,91.6,979259
CINF,2017-07-07,72.44,73.05,72.13,72.66,520691
CTAS,2017-07-07,124.04,126.63,124.04,126.13,511566
CSCO,2017-07-07,30.76,31.07,30.75,30.9,15860596
C,2017-07-07,68.03,68.3,67.44,67.91,14735303
CFG,2017-07-07,36.73,37.13,36.39,37.07,4086568
CTXS,2017-07-07,78.93,79.65,78.93,79.27,908969
CLX,2017-07-07,134.29,135.08,133.94,134.38,600351
CME,2017-07-07,124.39,125.22,122.9,124.83,1150582
CMS,2017-07-07,45.76,46.0,45.66,45.75,998194
COH,2017-07-07,46.8,47.87,46.74,47.68,2677028
KO,2017-07-07,44.47,44.52,44.24,44.39,9566044
CTSH,2017-07-07,66.4,67.32,66.37,66.96,2529468
CL,2017-07-07,73.69,73.76,73.15,73.34,2670425
CMCSA,2017-07-07,38.3,38.74,38.25,38.57,17471267
CMA,2017-07-07,74.84,74.98,73.76,74.67,991647
CAG,2017-07-07,34.19,34.23,33.41,33.42,7777133
CXO,2017-07-07,120.98,121.3,118.23,120.75,1114316
COP,2017-07-07,43.12,43.28,42.5,43.0,8494201
ED,2017-07-07,80.52,80.9,80.28,80.53,1345728
STZ,2017-07-07,194.29,194.51,192.86,193.52,723504
COO,2017-07-07,237.18,243.27,236.75,242.73,586572
GLW,2017-07-07,29.88,30.38,29.85,30.28,4356755
COST,2017-07-07,157.36,157.55,154.09,154.11,7688368
COTY,2017-07-07,18.87,19.03,18.74,18.79,5807380
CCI,2017-07-07,98.57,99.6,98.57,99.47,1306384
CSRA,2017-07-07,31.46,31.97,31.44,31.96,774910
CSX,2017-07-07,54.72,55.28,54.37,54.85,4172497
CMI,2017-07-07,165.0,165.71,162.65,164.7,1037150
CVS,2017-07-07,78.8,79.13,78.05,78.64,3442497
DHI,2017-07-07,34.62,36.04,34.62,35.79,7295746
DHR,2017-07-07,83.2,83.25,82.94,83.07,2877291
DRI,2017-07-07,89.89,90.46,89.34,90.17,1055690
DVA,2017-07-07,63.05,63.48,62.35,63.42,1060004
